time,n_maps,n_reduces,n_shuffles
36.74800,43,0,64
36.78100,43,0,64
36.79700,43,0,64
36.82900,43,0,64
36.84600,43,0,64
36.87800,43,0,64
36.89400,43,0,64
36.92700,43,0,64
36.94300,43,0,64
36.97600,43,0,64
36.99400,42,0,64
37.01000,42,0,64
37.04200,42,0,64
37.07300,42,0,64
37.10600,42,0,64
37.13800,42,0,64
37.17100,42,0,64
37.18900,41,0,64
37.20500,41,0,64
37.23800,41,0,64
37.26800,41,0,64
37.30100,41,0,64
37.33400,41,0,64
37.36600,41,0,64
37.38400,40,0,64
37.40000,40,0,64
37.43300,40,0,64
37.46400,40,0,64
37.50000,40,0,64
37.52900,40,0,64
37.56300,40,0,64
37.59400,40,0,64
37.62800,40,0,64
37.65900,40,0,64
37.69500,40,0,64
37.72400,40,0,64
37.75800,40,0,64
37.78900,40,0,64
37.82300,40,0,64
37.85400,40,0,64
37.89000,40,0,64
37.91900,40,0,64
37.95300,40,0,64
37.98400,40,0,64
38.01800,40,0,64
38.08300,39,0,64
38.14800,38,0,64
38.21300,37,0,64
38.27800,36,0,64
38.34300,35,0,64
38.40900,34,0,64
38.47400,33,0,64
39.22800,33,0,64
39.27600,34,0,64
39.32500,35,0,64
39.37400,36,0,64
39.42300,37,0,64
39.47200,38,0,64
39.52000,39,0,64
39.56900,40,0,64
39.61800,41,0,64
39.66700,42,0,64
39.71600,43,0,64
39.76400,44,0,64
39.81300,45,0,64
39.86200,46,0,64
39.91100,47,0,64
39.95900,48,0,64
40.02600,49,0,64
40.09000,50,0,64
40.15500,51,0,64
40.22100,52,0,64
40.28500,53,0,64
40.35000,54,0,64
40.41700,55,0,64
40.48000,56,0,64
40.54500,57,0,64
40.61000,58,0,64
40.67500,59,0,64
40.74000,60,0,64
40.80500,61,0,64
40.87000,62,0,64
40.93500,63,0,64
41.00000,64,0,64
42.74800,64,0,64
42.79700,63,0,64
42.84600,62,0,64
42.89400,61,0,64
42.94300,60,0,64
42.99200,59,0,64
43.02600,58,0,64
43.07500,57,0,64
43.12400,56,0,64
43.18700,55,0,64
43.22100,54,0,64
43.27000,53,0,64
43.31900,52,0,64
43.38200,51,0,64
43.41700,50,0,64
43.46500,49,0,64
43.53200,48,0,64
43.59500,47,0,64
43.66000,46,0,64
43.72700,45,0,64
43.79100,44,0,64
43.85600,43,0,64
43.92200,42,0,64
43.98600,41,0,64
44.05100,40,0,64
44.11600,39,0,64
44.18100,38,0,64
44.24600,37,0,64
44.31100,36,0,64
44.37600,35,0,64
44.44100,34,0,64
44.50600,33,0,64
45.26000,33,0,64
45.30900,34,0,64
45.35800,35,0,64
45.40700,36,0,64
45.45500,37,0,64
45.50400,38,0,64
45.55300,39,0,64
45.60200,40,0,64
45.65000,41,0,64
45.69900,42,0,64
45.74800,43,0,64
45.78100,43,0,64
45.79700,43,0,64
45.82900,43,0,64
45.84600,43,0,64
45.87800,43,0,64
45.89400,43,0,64
45.92700,43,0,64
45.94300,43,0,64
45.97600,43,0,64
45.99200,43,0,64
46.02500,43,0,64
46.04200,42,0,64
46.05900,42,0,64
46.09100,42,0,64
46.12200,42,0,64
46.15500,42,0,64
46.18700,42,0,64
46.22000,42,0,64
46.23800,41,0,64
46.25400,41,0,64
46.28600,41,0,64
46.31700,41,0,64
46.35000,41,0,64
46.38200,41,0,64
46.41500,41,0,64
46.43300,40,0,64
46.44900,40,0,64
46.48200,40,0,64
46.51200,40,0,64
46.54800,40,0,64
46.57700,40,0,64
46.61200,40,0,64
46.64300,40,0,64
46.67700,40,0,64
46.70800,40,0,64
46.74300,40,0,64
46.77300,40,0,64
46.80700,40,0,64
46.83800,40,0,64
46.87200,40,0,64
46.90300,40,0,64
46.93900,40,0,64
46.96800,40,0,64
47.00200,40,0,64
47.03300,40,0,64
47.06700,40,0,64
47.13200,39,0,64
47.19700,38,0,64
47.26200,37,0,64
47.32700,36,0,64
47.39200,35,0,64
47.45700,34,0,64
47.52200,33,0,64
48.27600,33,0,64
48.32500,34,0,64
48.37400,35,0,64
48.42300,36,0,64
48.47200,37,0,64
48.52000,38,0,64
48.56900,39,0,64
48.61800,40,0,64
48.66700,41,0,64
48.71600,42,0,64
48.76400,43,0,64
48.81300,44,0,64
48.86200,45,0,64
48.91100,46,0,64
48.95900,47,0,64
49.00800,48,0,64
49.07500,49,0,64
49.13800,50,0,64
49.20300,51,0,64
49.27000,52,0,64
49.33400,53,0,64
49.39900,54,0,64
49.46500,55,0,64
49.52900,56,0,64
49.59400,57,0,64
49.65900,58,0,64
49.72400,59,0,64
49.78900,60,0,64
49.85400,61,0,64
49.91900,62,0,64
49.98400,63,0,64
50.04900,64,0,64
51.79700,64,0,64
51.84600,63,0,64
51.89400,62,0,64
51.94300,61,0,64
51.99200,60,0,64
52.04100,59,0,64
52.07500,58,0,64
52.12400,57,0,64
52.17300,56,0,64
52.23600,55,0,64
52.27000,54,0,64
52.31900,53,0,64
52.36800,52,0,64
52.43100,51,0,64
52.46500,50,0,64
52.51400,49,0,64
52.58100,48,0,64
52.64400,47,0,64
52.70900,46,0,64
52.77600,45,0,64
52.83900,44,0,64
52.90400,43,0,64
52.97100,42,0,64
53.03400,41,0,64
53.10000,40,0,64
53.16500,39,0,64
53.23000,38,0,64
53.29500,37,0,64
53.36000,36,0,64
53.42500,35,0,64
53.49000,34,0,64
53.55500,33,0,64
54.30900,33,0,64
54.35800,34,0,64
54.40700,35,0,64
54.45500,36,0,64
54.50400,37,0,64
54.55300,38,0,64
54.60200,39,0,64
54.65000,40,0,64
54.69900,41,0,64
54.74800,42,0,64
54.79700,43,0,64
54.82900,43,0,64
54.84600,43,0,64
54.87800,43,0,64
54.89400,43,0,64
54.92700,43,0,64
54.94300,43,0,64
54.97600,43,0,64
54.99200,43,0,64
55.02500,43,0,64
55.04100,43,0,64
55.07300,43,0,64
55.09100,42,0,64
55.10800,42,0,64
55.14000,42,0,64
55.17100,42,0,64
55.20300,42,0,64
55.23600,42,0,64
55.26800,42,0,64
55.28600,41,0,64
55.30300,41,0,64
55.33500,41,0,64
55.36600,41,0,64
55.39900,41,0,64
55.43100,41,0,64
55.46400,41,0,64
55.48200,40,0,64
55.49800,40,0,64
55.53000,40,0,64
55.56100,40,0,64
55.59700,40,0,64
55.62600,40,0,64
55.66000,40,0,64
55.69100,40,0,64
55.72600,40,0,64
55.75600,40,0,64
55.79200,40,0,64
55.82100,40,0,64
55.85600,40,0,64
55.88600,40,0,64
55.92100,40,0,64
55.95100,40,0,64
55.98700,40,0,64
56.01700,40,0,64
56.05100,40,0,64
56.08200,40,0,64
56.11600,40,0,64
56.18100,39,0,64
56.24600,38,0,64
56.31100,37,0,64
56.37600,36,0,64
56.44100,35,0,64
56.50600,34,0,64
56.57100,33,0,64
57.32500,33,0,64
57.37400,34,0,64
57.42300,35,0,64
57.47200,36,0,64
57.52000,37,0,64
57.56900,38,0,64
57.61800,39,0,64
57.66700,40,0,64
57.71600,41,0,64
57.76400,42,0,64
57.81300,43,0,64
57.86200,44,0,64
57.91100,45,0,64
57.95900,46,0,64
58.00800,47,0,64
58.05700,48,0,64
58.12400,49,0,64
58.18700,50,0,64
58.25200,51,0,64
58.31900,52,0,64
58.38200,53,0,64
58.44700,54,0,64
58.51400,55,0,64
58.57700,56,0,64
58.64300,57,0,64
58.70800,58,0,64
58.77300,59,0,64
58.83800,60,0,64
58.90300,61,0,64
58.96800,62,0,64
59.03300,63,0,64
59.09800,64,0,64
60.84600,64,0,64
60.89400,63,0,64
60.94300,62,0,64
60.99200,61,0,64
61.04100,60,0,64
61.09000,59,0,64
61.12400,58,0,64
61.17300,57,0,64
61.22100,56,0,64
61.28500,55,0,64
61.31900,54,0,64
61.36800,53,0,64
61.41700,52,0,64
61.48000,51,0,64
61.51400,50,0,64
61.56300,49,0,64
61.63000,48,0,64
61.69300,47,0,64
61.75800,46,0,64
61.82500,45,0,64
61.88800,44,0,64
61.95300,43,0,64
62.02000,42,0,64
62.08300,41,0,64
62.14800,40,0,64
62.21300,39,0,64
62.27800,38,0,64
62.34300,37,0,64
62.40900,36,0,64
62.47400,35,0,64
62.53900,34,0,64
62.60400,33,0,64
63.35800,33,0,64
63.40700,34,0,64
63.45500,35,0,64
63.50400,36,0,64
63.55300,37,0,64
63.60200,38,0,64
63.65000,39,0,64
63.69900,40,0,64
63.74800,41,0,64
63.79700,42,0,64
63.84600,43,0,64
63.87800,43,0,64
63.89400,43,0,64
63.92700,43,0,64
63.94300,43,0,64
63.97600,43,0,64
63.99200,43,0,64
64.02500,43,0,64
64.04100,43,0,64
64.07300,43,0,64
64.09000,43,0,64
64.12200,43,0,64
64.14000,42,0,64
64.15600,42,0,64
64.18900,42,0,64
64.22000,42,0,64
64.25200,42,0,64
64.28500,42,0,64
64.31700,42,0,64
64.33500,41,0,64
64.35100,41,0,64
64.38400,41,0,64
64.41500,41,0,64
64.44700,41,0,64
64.48000,41,0,64
64.51200,41,0,64
64.53000,40,0,64
64.54700,40,0,64
64.57900,40,0,64
64.61000,40,0,64
64.64600,40,0,64
64.67500,40,0,64
64.70900,40,0,64
64.74000,40,0,64
64.77400,40,0,64
64.80500,40,0,64
64.84100,40,0,64
64.87000,40,0,64
64.90400,40,0,64
64.93500,40,0,64
64.96900,40,0,64
65.00000,40,0,64
65.03600,40,0,64
65.06500,40,0,64
65.10000,40,0,64
65.13000,40,0,64
65.16500,40,0,64
65.23000,39,0,64
65.29500,38,0,64
65.36000,37,0,64
65.42500,36,0,64
65.49000,35,0,64
65.55500,34,0,64
65.62000,33,0,64
66.37400,33,0,64
66.42300,34,0,64
66.47200,35,0,64
66.52000,36,0,64
66.56900,37,0,64
66.61800,38,0,64
66.66700,39,0,64
66.71600,40,0,64
66.76400,41,0,64
66.81300,42,0,64
66.86200,43,0,64
66.91100,44,0,64
66.95900,45,0,64
67.00800,46,0,64
67.05700,47,0,64
67.10600,48,0,64
67.17300,49,0,64
67.23600,50,0,64
67.30100,51,0,64
