task_id,mrsg_phase,worker_id,time,action,shuffle_end
0_165_0,MRSG_MAP,5,27.927,END,0.000
0_166_0,MRSG_MAP,6,27.945,END,0.000
0_208_0,MRSG_MAP,16,27.961,START,
0_167_0,MRSG_MAP,7,27.994,END,0.000
0_209_0,MRSG_MAP,17,28.025,START,
0_168_0,MRSG_MAP,8,28.057,END,0.000
0_210_0,MRSG_MAP,18,28.090,START,
0_169_0,MRSG_MAP,9,28.122,END,0.000
0_170_0,MRSG_MAP,10,28.140,END,0.000
0_211_0,MRSG_MAP,19,28.156,START,
0_171_0,MRSG_MAP,11,28.189,END,0.000
0_212_0,MRSG_MAP,20,28.220,START,
0_172_0,MRSG_MAP,12,28.252,END,0.000
0_213_0,MRSG_MAP,21,28.285,START,
0_173_0,MRSG_MAP,13,28.317,END,0.000
0_174_0,MRSG_MAP,14,28.335,END,0.000
0_214_0,MRSG_MAP,22,28.351,START,
0_175_0,MRSG_MAP,15,28.384,END,0.000
0_215_0,MRSG_MAP,23,28.415,START,
0_176_0,MRSG_MAP,16,28.451,END,0.000
0_216_0,MRSG_MAP,24,28.480,START,
0_177_0,MRSG_MAP,17,28.514,END,0.000
0_217_0,MRSG_MAP,25,28.545,START,
0_178_0,MRSG_MAP,18,28.579,END,0.000
0_218_0,MRSG_MAP,26,28.610,START,
0_179_0,MRSG_MAP,19,28.646,END,0.000
0_219_0,MRSG_MAP,27,28.675,START,
0_180_0,MRSG_MAP,20,28.709,END,0.000
0_220_0,MRSG_MAP,28,28.740,START,
0_181_0,MRSG_MAP,21,28.774,END,0.000
0_221_0,MRSG_MAP,29,28.805,START,
0_182_0,MRSG_MAP,22,28.841,END,0.000
0_222_0,MRSG_MAP,30,28.870,START,
0_183_0,MRSG_MAP,23,28.904,END,0.000
0_223_0,MRSG_MAP,31,28.935,START,
0_184_0,MRSG_MAP,24,28.969,END,0.000
0_185_0,MRSG_MAP,25,29.034,END,0.000
0_186_0,MRSG_MAP,26,29.100,END,0.000
0_187_0,MRSG_MAP,27,29.165,END,0.000
0_188_0,MRSG_MAP,28,29.230,END,0.000
0_189_0,MRSG_MAP,29,29.295,END,0.000
0_190_0,MRSG_MAP,30,29.360,END,0.000
0_191_0,MRSG_MAP,31,29.425,END,0.000
0_224_0,MRSG_MAP,0,30.179,START,
0_225_0,MRSG_MAP,1,30.228,START,
0_226_0,MRSG_MAP,2,30.276,START,
0_227_0,MRSG_MAP,3,30.325,START,
0_228_0,MRSG_MAP,4,30.374,START,
0_229_0,MRSG_MAP,5,30.423,START,
0_230_0,MRSG_MAP,6,30.472,START,
0_231_0,MRSG_MAP,7,30.520,START,
0_232_0,MRSG_MAP,8,30.569,START,
0_233_0,MRSG_MAP,9,30.618,START,
0_234_0,MRSG_MAP,10,30.667,START,
0_235_0,MRSG_MAP,11,30.716,START,
0_236_0,MRSG_MAP,12,30.764,START,
0_237_0,MRSG_MAP,13,30.813,START,
0_238_0,MRSG_MAP,14,30.862,START,
0_239_0,MRSG_MAP,15,30.911,START,
0_240_0,MRSG_MAP,16,30.977,START,
0_241_0,MRSG_MAP,17,31.041,START,
0_242_0,MRSG_MAP,18,31.106,START,
0_243_0,MRSG_MAP,19,31.173,START,
0_244_0,MRSG_MAP,20,31.236,START,
0_245_0,MRSG_MAP,21,31.301,START,
0_246_0,MRSG_MAP,22,31.368,START,
0_247_0,MRSG_MAP,23,31.431,START,
0_248_0,MRSG_MAP,24,31.496,START,
0_249_0,MRSG_MAP,25,31.561,START,
0_250_0,MRSG_MAP,26,31.626,START,
0_251_0,MRSG_MAP,27,31.691,START,
0_252_0,MRSG_MAP,28,31.756,START,
0_253_0,MRSG_MAP,29,31.821,START,
0_254_0,MRSG_MAP,30,31.886,START,
0_255_0,MRSG_MAP,31,31.951,START,
0_192_0,MRSG_MAP,0,33.699,END,0.000
0_193_0,MRSG_MAP,1,33.748,END,0.000
0_194_0,MRSG_MAP,2,33.797,END,0.000
0_195_0,MRSG_MAP,3,33.846,END,0.000
0_196_0,MRSG_MAP,4,33.894,END,0.000
0_197_0,MRSG_MAP,5,33.943,END,0.000
0_198_0,MRSG_MAP,6,33.977,END,0.000
0_199_0,MRSG_MAP,7,34.026,END,0.000
0_200_0,MRSG_MAP,8,34.075,END,0.000
0_201_0,MRSG_MAP,9,34.138,END,0.000
0_202_0,MRSG_MAP,10,34.173,END,0.000
0_203_0,MRSG_MAP,11,34.221,END,0.000
0_204_0,MRSG_MAP,12,34.270,END,0.000
0_205_0,MRSG_MAP,13,34.334,END,0.000
0_206_0,MRSG_MAP,14,34.368,END,0.000
0_207_0,MRSG_MAP,15,34.417,END,0.000
0_208_0,MRSG_MAP,16,34.483,END,0.000
0_209_0,MRSG_MAP,17,34.547,END,0.000
0_210_0,MRSG_MAP,18,34.612,END,0.000
0_211_0,MRSG_MAP,19,34.678,END,0.000
0_212_0,MRSG_MAP,20,34.742,END,0.000
0_213_0,MRSG_MAP,21,34.807,END,0.000
0_214_0,MRSG_MAP,22,34.874,END,0.000
0_215_0,MRSG_MAP,23,34.937,END,0.000
0_216_0,MRSG_MAP,24,35.002,END,0.000
0_217_0,MRSG_MAP,25,35.067,END,0.000
0_218_0,MRSG_MAP,26,35.132,END,0.000
0_219_0,MRSG_MAP,27,35.197,END,0.000
0_220_0,MRSG_MAP,28,35.262,END,0.000
0_221_0,MRSG_MAP,29,35.327,END,0.000
0_222_0,MRSG_MAP,30,35.392,END,0.000
0_223_0,MRSG_MAP,31,35.457,END,0.000
0_256_0,MRSG_MAP,0,36.211,START,
