task_id,mrsg_phase,worker_id,time,action,shuffle_end
1_45_0,MRSG_REDUCE,1,9.052,START,
0_95_0,MRSG_MAP,31,9.055,END,0.000
0_110_0,MRSG_MAP,2,9.056,START,
1_46_0,MRSG_REDUCE,2,9.057,START,
0_109_0,MRSG_MAP,1,9.060,END,0.000
0_99_0,MRSG_MAP,3,9.061,START,
1_47_0,MRSG_REDUCE,3,9.062,START,
0_110_0,MRSG_MAP,2,9.065,END,0.000
0_100_0,MRSG_MAP,4,9.066,START,
1_48_0,MRSG_REDUCE,4,9.068,START,
0_99_0,MRSG_MAP,3,9.070,END,0.000
0_113_0,MRSG_MAP,5,9.072,START,
1_49_0,MRSG_REDUCE,5,9.073,START,
0_100_0,MRSG_MAP,4,9.075,END,0.000
0_114_0,MRSG_MAP,6,9.077,START,
1_50_0,MRSG_REDUCE,6,9.078,START,
0_113_0,MRSG_MAP,5,9.081,END,0.000
0_103_0,MRSG_MAP,7,9.082,START,
1_51_0,MRSG_REDUCE,7,9.083,START,
0_114_0,MRSG_MAP,6,9.086,END,0.000
0_116_0,MRSG_MAP,8,9.087,START,
1_52_0,MRSG_REDUCE,8,9.088,START,
0_103_0,MRSG_MAP,7,9.091,END,0.000
0_117_0,MRSG_MAP,9,9.092,START,
1_53_0,MRSG_REDUCE,9,9.094,START,
0_116_0,MRSG_MAP,8,9.096,END,0.000
0_118_0,MRSG_MAP,10,9.098,START,
1_54_0,MRSG_REDUCE,10,9.099,START,
0_117_0,MRSG_MAP,9,9.101,END,0.000
0_108_0,MRSG_MAP,12,9.103,START,
1_55_0,MRSG_REDUCE,12,9.104,START,
0_118_0,MRSG_MAP,10,9.107,END,0.000
0_121_0,MRSG_MAP,13,9.108,START,
1_56_0,MRSG_REDUCE,13,9.109,START,
0_108_0,MRSG_MAP,12,9.112,END,0.000
0_122_0,MRSG_MAP,14,9.113,START,
1_57_0,MRSG_REDUCE,14,9.114,START,
0_121_0,MRSG_MAP,13,9.117,END,0.000
0_111_0,MRSG_MAP,15,9.118,START,
1_58_0,MRSG_REDUCE,15,9.120,START,
0_122_0,MRSG_MAP,14,9.122,END,0.000
0_112_0,MRSG_MAP,16,9.124,START,
1_59_0,MRSG_REDUCE,16,9.125,START,
0_125_0,MRSG_MAP,17,9.127,START,
1_60_0,MRSG_REDUCE,17,9.129,START,
0_111_0,MRSG_MAP,15,9.131,END,0.000
0_126_0,MRSG_MAP,18,9.133,START,
1_61_0,MRSG_REDUCE,18,9.134,START,
0_112_0,MRSG_MAP,16,9.137,END,0.000
0_125_0,MRSG_MAP,17,9.138,END,0.000
0_115_0,MRSG_MAP,19,9.139,START,
1_62_0,MRSG_REDUCE,19,9.141,START,
0_128_0,MRSG_MAP,20,9.143,START,
1_63_0,MRSG_REDUCE,20,9.144,START,
0_126_0,MRSG_MAP,18,9.147,END,0.000
0_129_0,MRSG_MAP,21,9.148,START,
0_115_0,MRSG_MAP,19,9.151,END,0.000
0_119_0,MRSG_MAP,23,9.152,START,
0_128_0,MRSG_MAP,20,9.155,END,0.000
0_120_0,MRSG_MAP,24,9.156,START,
0_129_0,MRSG_MAP,21,9.159,END,0.000
0_119_0,MRSG_MAP,23,9.160,END,0.000
0_133_0,MRSG_MAP,25,9.161,START,
0_120_0,MRSG_MAP,24,9.164,END,0.000
0_133_0,MRSG_MAP,25,9.165,END,0.000
0_140_0,MRSG_MAP,0,12.007,START,
0_140_0,MRSG_MAP,0,12.009,END,0.000
0_139_0,MRSG_MAP,11,12.012,START,
